Player,Offense,Defense(*),Total
James Ennis III,-0.4 (67),0.8 (46),-1.2 (57)
Kent Bazemore,-3.4 (11),-2.1 (96),-1.3 (57)
Romeo Langford,-2.3 (31),-1.0 (85),-1.3 (57)
Aaron Nesmith,-1.7 (44),-0.4 (76),-1.3 (57)
Gary Harris,-1.4 (48),-0.1 (68),-1.3 (56)
Nerlens Noel,-1.9 (37),-0.6 (78),-1.3 (56)
Kelly Oubre Jr.,-0.3 (69),1.0 (42),-1.3 (56)
RJ Barrett,-0.1 (72),1.2 (35),-1.3 (56)
Isaac Okoro,-0.4 (68),0.9 (45),-1.3 (56)
David Nwaba,-1.1 (55),0.2 (62),-1.3 (56)
JaMychal Green,-1.0 (56),0.3 (60),-1.3 (55)
Eric Bledsoe,-1.6 (45),-0.3 (72),-1.3 (55)
Frank Kaminsky,-1.5 (47),-0.2 (70),-1.3 (55)
Jericho Sims,-1.7 (43),-0.3 (73),-1.4 (55)
Naji Marshall,-1.5 (47),-0.1 (68),-1.4 (55)
Facundo Campazzo,-2.3 (31),-0.9 (82),-1.4 (55)
Tyler Herro,0.4 (80),1.8 (14),-1.4 (54)
Shake Milton,-0.7 (61),0.7 (48),-1.4 (54)
Talen Horton-Tucker,-1.8 (39),-0.4 (74),-1.4 (54)
Rui Hachimura,-0.2 (69),1.2 (33),-1.4 (54)
Kyle Anderson,-2.1 (34),-0.7 (80),-1.4 (54)
Markieff Morris,-1.3 (51),0.1 (64),-1.4 (54)
Xavier Tillman,-1.6 (44),-0.2 (70),-1.4 (53)
Malik Monk,0.3 (80),1.8 (14),-1.5 (53)
Jerami Grant,-1.6 (45),-0.1 (69),-1.5 (53)
Kemba Walker,0.1 (76),1.6 (24),-1.5 (53)
Austin Rivers,-0.4 (67),1.1 (38),-1.5 (53)
Sterling Brown,-1.9 (38),-0.4 (75),-1.5 (53)
Derrick Jones Jr.,-1.2 (52),0.3 (60),-1.5 (52)
Precious Achiuwa,-2.4 (29),-0.8 (82),-1.6 (52)
Solomon Hill,-1.7 (43),-0.1 (68),-1.6 (52)
Wayne Ellington,0.1 (75),1.7 (18),-1.6 (52)
Justin Holiday,-0.7 (63),0.9 (45),-1.6 (52)
Jalen McDaniels,-1.0 (57),0.6 (52),-1.6 (52)
Tomas Satoransky,-1.6 (45),-0.0 (66),-1.6 (51)
Matt Thomas,-1.6 (44),-0.0 (65),-1.6 (51)
Chris Chiozza,-2.1 (34),-0.5 (76),-1.6 (51)
Kira Lewis Jr.,-1.9 (38),-0.2 (71),-1.7 (51)
Danuel House Jr.,-1.7 (42),-0.0 (65),-1.7 (51)
