Player,Offense,Defense(*),Total
Lance Thomas,-1.5 (42),1.2 (28),-2.7 (30)
Buddy Hield,-1.5 (41),1.2 (28),-2.7 (29)
Leandro Barbosa,-1.1 (52),1.6 (17),-2.7 (29)
Tyler Ulis,-1.5 (41),1.2 (27),-2.7 (29)
Kris Humphries,-2.6 (18),0.1 (59),-2.7 (29)
Alan Anderson,-2.6 (17),0.1 (59),-2.7 (29)
Donatas Motiejunas,-2.0 (27),0.7 (42),-2.7 (28)
Pascal Siakam,-2.3 (22),0.5 (50),-2.8 (28)
Michael Beasley,-1.2 (50),1.6 (18),-2.8 (28)
Dragan Bender,-2.0 (27),0.8 (40),-2.8 (28)
Andrew Nicholson,-2.1 (26),0.7 (43),-2.8 (27)
Matt Barnes,-1.9 (29),1.0 (33),-2.9 (27)
Isaiah Canaan,-1.7 (35),1.2 (27),-2.9 (27)
Skal Labissiere,-1.9 (29),1.0 (32),-2.9 (27)
Chris Andersen,-2.2 (24),0.7 (45),-2.9 (27)
Ian Clark,-1.6 (39),1.3 (26),-2.9 (26)
Justin Anderson,-1.8 (34),1.1 (31),-2.9 (26)
Juancho Hernangomez,-1.3 (46),1.6 (17),-2.9 (26)
Randy Foye,-2.1 (24),0.8 (38),-2.9 (26)
Alex Len,-2.9 (13),0.1 (60),-3.0 (26)
Metta World Peace,-2.9 (13),0.1 (60),-3.0 (25)
Brian Roberts,-1.9 (29),1.1 (29),-3.0 (25)
Brandan Wright,-2.1 (24),0.9 (34),-3.0 (25)
Elijah Millsap,-2.7 (16),0.3 (55),-3.0 (25)
Shabazz Muhammad,-0.7 (61),2.4 (4),-3.1 (25)
Thomas Robinson,-1.6 (37),1.5 (21),-3.1 (24)
Chris McCullough,-1.6 (39),1.6 (18),-3.2 (24)
Jerami Grant,-2.1 (26),1.1 (30),-3.2 (24)
Brandon Knight,-1.4 (44),1.8 (12),-3.2 (24)
Julius Randle,-1.3 (45),1.9 (9),-3.2 (24)
Bojan Bogdanovi?,-0.3 (70),3.0 (0),-3.3 (23)
Sean Kilpatrick,-0.3 (70),3.0 (0),-3.3 (23)
Terrence Jones,-1.6 (39),1.7 (14),-3.3 (23)
Brandon Ingram,-1.2 (49),2.1 (6),-3.3 (23)
Trey Burke,-1.2 (49),2.1 (6),-3.3 (23)
C.J. Wilcox,-2.6 (18),0.7 (43),-3.3 (22)
Thon Maker,-2.4 (20),0.9 (34),-3.3 (22)
Aaron Brooks,-1.5 (40),1.8 (11),-3.3 (22)
Malik Beasley,-2.9 (12),0.4 (52),-3.3 (22)
John Jenkins,-2.0 (27),1.3 (25),-3.3 (22)
RJ Hunter,-2.8 (14),0.5 (49),-3.3 (21)
Johnny O'Bryant III,-1.5 (40),1.9 (8),-3.4 (21)
Noah Vonleh,-3.2 (10),0.2 (58),-3.4 (21)
Miles Plumlee,-2.6 (19),0.8 (40),-3.4 (21)
Maurice Ndour,-2.6 (18),0.8 (39),-3.4 (20)
Jordan McRae,-1.9 (31),1.6 (19),-3.5 (20)
Jaylen Brown,-2.9 (13),0.6 (47),-3.5 (20)
Justin Hamilton,-2.3 (22),1.2 (28),-3.5 (20)
Marcus Thornton,-1.2 (48),2.3 (4),-3.5 (20)
Doug McDermott,-1.0 (54),2.5 (2),-3.5 (19)
Adreian Payne,-2.0 (27),1.5 (20),-3.5 (19)
Derrick Williams,-1.1 (51),2.4 (3),-3.5 (19)
Dejounte Murray,-2.8 (14),0.8 (39),-3.6 (19)
Jordan Farmar,-2.4 (20),1.2 (26),-3.6 (19)
Archie Goodwin,-0.7 (60),2.9 (0),-3.6 (18)
Patrick McCaw,-3.1 (11),0.5 (51),-3.6 (18)
Kevon Looney,-2.9 (13),0.8 (41),-3.7 (18)
Emmanuel Mudiay,-2.0 (28),1.7 (14),-3.7 (18)
Christian Wood,-2.7 (16),1.0 (32),-3.7 (18)
Axel Toupane,-2.0 (26),1.7 (12),-3.7 (17)
Anderson Varejao,-3.0 (12),0.8 (41),-3.8 (17)
Kevin Seraphin,-2.8 (15),1.0 (32),-3.8 (17)
Pat Connaughton,-2.6 (18),1.2 (26),-3.8 (17)
Ivica Zubac,-2.3 (21),1.5 (21),-3.8 (17)
Pierre Jackson,-3.1 (10),0.7 (42),-3.8 (16)
Rashad Vaughn,-2.8 (16),1.1 (31),-3.9 (16)
Damjan Rudez,-2.3 (21),1.6 (16),-3.9 (16)
Semaj Christon,-2.2 (23),1.7 (14),-3.9 (16)
Troy Williams,-2.7 (17),1.2 (26),-3.9 (16)
Joe Harris,-2.4 (21),1.6 (18),-4.0 (15)
DeAndre' Bembry,-2.8 (15),1.2 (27),-4.0 (15)
James Michael McAdoo,-2.9 (12),1.1 (29),-4.0 (15)
Jordan Crawford,-1.3 (44),2.7 (1),-4.0 (15)
D.J. Augustin,-1.9 (30),2.2 (5),-4.1 (15)
