team,year,TQ,win_pct,TQ_Z_score,Normalized_TQ_Z_score
Milwaukee Bucks,2024,2.091296203470978,0.5975609756097561,0.9870622070122517,0.9186302185020914
Oklahoma City Thunder,2024,2.0485257060641318,0.6951219512195121,0.9620058848078199,0.9131612409417649
Charlotte Hornets,2024,1.8642360388773571,0.2560975609756097,0.8540431170135844,0.8864377759300713
New York Knicks,2024,1.7695558714222193,0.6097560975609756,0.798576453636746,0.8706265050561746
Phoenix Suns,2024,1.7436660422483694,0.5975609756097561,0.7834093655520085,0.8660492571914563
Atlanta Hawks,2024,1.6003133018270812,0.4390243902439024,0.6994287557705311,0.8387030745797772
Sacramento Kings,2024,1.087993139388351,0.5609756097560976,0.39929525627475976,0.7138572619505053
Los Angeles Clippers,2024,0.8217850683255152,0.6219512195121951,0.243342073441236,0.6346286191827566
Boston Celtics,2024,0.6476099755266254,0.7804878048780488,0.14130474608349544,0.5791952208757107
Memphis Grizzlies,2024,0.5482443377269648,0.3292682926829268,0.0830931846636225,0.54677263769343
Philadelphia 76ers,2024,0.1011547161476915,0.573170731707317,-0.17882618246430146,0.4001733581054754
Washington Wizards,2024,0.0442457785256705,0.1829268292682926,-0.2121652541100058,0.3820706604038403
Los Angeles Lakers,2024,-0.1351519212973064,0.573170731707317,-0.31726215131791385,0.3268325423499272
Golden State Warriors,2024,-0.2321748462943453,0.5609756097560976,-0.37410127682111816,0.29838222656291846
Minnesota Timberwolves,2024,-0.3720538676222942,0.6829268292682927,-0.4560468711099663,0.25948054902533274
Cleveland Cavaliers,2024,-0.5613834398593975,0.5853658536585366,-0.5669621761080494,0.21133270974357177
Houston Rockets,2024,-0.7108527486792946,0.5,-0.6545260668395505,0.17731664270892128
Portland Trail Blazers,2024,-0.7628160555987888,0.2560975609756097,-0.6849678302026815,0.16634974326397112
Miami Heat,2024,-1.1734598131433145,0.5609756097560976,-0.9255360471771034,0.09528315958604389
Chicago Bulls,2024,-1.2171405652963885,0.4756097560975609,-0.9511256256584645,0.08929731770222205
Detroit Pistons,2024,-1.2224191949961876,0.1707317073170731,-0.9542180153797698,0.0885933365716326
New Orleans Pelicans,2024,-1.2330421188102094,0.5975609756097561,-0.9604412631317273,0.08718916201739924
Brooklyn Nets,2024,-1.50864186516597,0.3902439024390244,-1.1218963890439224,0.05630151032852454
Toronto Raptors,2024,-1.5612935449643286,0.3048780487804878,-1.1527414232057431,0.05152723433515499
Orlando Magic,2024,-1.8635162720741891,0.573170731707317,-1.329793140793543,0.030012393465951304
San Antonio Spurs,2024,-2.5994957047936653,0.2682926829268293,-1.7609533778756161,0.006380613548458258
