Team,year,win_pct,win_pct(last_year),Player Expenses(M$),Revenue(M$)
MIN,2024,0.6829268292682927,0.5121951219512195,171,305
NOP,2016,0.3658536585365853,0.5487804878048781,93,156
NOP,2017,0.4146341463414634,0.3658536585365853,117,204
NOP,2018,0.5853658536585366,0.4146341463414634,133,214
NOP,2019,0.4024390243902439,0.5853658536585366,127,224
NOP,2020,0.4166666666666667,0.4024390243902439,111,209
NOP,2021,0.4305555555555556,0.4166666666666667,109,181
NOP,2022,0.4390243902439024,0.4305555555555556,121,268
NOP,2023,0.5121951219512195,0.4390243902439024,154,262
NOP,2024,0.5975609756097561,0.5121951219512195,176,272
NYK,2016,0.3902439024390244,0.2073170731707317,86,376
NYK,2017,0.3780487804878049,0.3902439024390244,117,426
NYK,2018,0.3536585365853658,0.3780487804878049,115,443
NYK,2019,0.2073170731707317,0.3536585365853658,134,472
NYK,2020,0.3181818181818182,0.2073170731707317,103,421
NYK,2021,0.5694444444444444,0.3181818181818182,87,298
NYK,2022,0.4512195121951219,0.5694444444444444,111,452
NYK,2023,0.573170731707317,0.4512195121951219,156,504
NYK,2024,0.6097560975609756,0.573170731707317,168,543
OKC,2016,0.6707317073170732,0.5487804878048781,122,187
OKC,2017,0.573170731707317,0.6707317073170732,102,222
OKC,2018,0.5853658536585366,0.573170731707317,146,241
OKC,2019,0.5975609756097561,0.5853658536585366,162,258
OKC,2020,0.6111111111111112,0.5975609756097561,123,236
OKC,2021,0.3055555555555556,0.6111111111111112,91,183
