Player,Team,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance
Richaun Holmes,WAS,-0.1,-0.0,0.143,-36.0,37.8,14.838709677419354
Riley Minix,SAS,-0.1,-0.0,0.063,0.0,1.22,2.0
Jackson Rowe,GSW,-0.2,-0.1,0.142,23.0,7.32,6.666666666666667
Yanic Konan Niederhäuser,LAC,-0.0,0.1,,,,
Mark Sears,MIL,-0.0,0.1,,,,
Max Strus,CLE,-0.4,-0.3,0.143,221.0,60.98,16.6
Kris Dunn,LAC,-0.4,-0.3,0.126,262.0,90.24,13.72972972972973
Cory Joseph,ORL,0.3,0.4,0.126,35.0,60.98,6.7
Ryan Rollins,MIL,-0.6,-0.4,0.179,83.0,68.29,10.125
Matisse Thybulle,POR,-1.2,-1.0,0.135,1.0,18.29,14.733333333333333
CJ McCollum,ATL,1.2,1.4,0.266,-279.0,68.29,28.321428571428573
Scotty Pippen Jr.,MEM,-0.7,-0.5,0.188,44.0,96.34,17.468354430379748
Javonte Green,DET,-1.4,-1.2,0.113,-212.0,82.93,10.073529411764707
Nate Williams,HOU,0.2,0.4,0.212,-24.0,24.39,4.25
E.J. Liddell,BKN,-0.1,0.1,0.13,-8.0,14.63,2.75
Branden Carlson,OKC,0.0,0.2,0.185,41.0,39.02,6.53125
Phillip Wheeler,PHI,-0.2,0.0,0.221,13.0,6.1,4.0
Ryan Nembhard,DAL,0.2,0.4,,,,
Luke Kennard,ATL,0.9,1.1,0.14,122.0,79.27,14.723076923076922
Jake LaRavia,LAL,0.9,1.1,0.14,126.0,80.49,13.242424242424242
Collin Murray-Boyles,TOR,-1.1,-0.9,,,,
Aaron Holiday,HOU,-1.2,-0.9,0.162,88.0,75.61,7.967741935483871
Jose Alvarado,NOP,-0.7,-0.4,0.193,-232.0,68.29,17.428571428571427
Ryan Dunn,PHX,-0.7,-0.4,0.161,-169.0,90.24,11.878378378378379
Duncan Robinson,DET,0.2,0.5,0.187,66.0,90.24,15.135135135135135
Robert Williams III,POR,-0.6,-0.3,0.12,-17.0,24.39,14.2
Kristaps Porziņģis,ATL,-0.6,-0.3,0.253,173.0,51.22,29.285714285714285
Oshae Brissett,PHI,-0.3,0.0,0.154,-31.0,7.32,12.833333333333334
Talen Horton-Tucker,CHI,0.3,0.6,0.208,19.0,70.73,9.551724137931034
Bol Bol,PHX,-0.3,-0.0,0.204,-37.0,43.9,10.666666666666666
Ulrich Chomche,TOR,0.2,0.5,0.108,-24.0,8.54,2.0
Keshad Johnson,MIA,-0.6,-0.3,0.145,5.0,19.51,5.0
Brook Lopez,LAC,-1.1,-0.8,0.157,134.0,97.56,21.2375
Haywood Highsmith,MIA,-0.9,-0.6,0.111,61.0,90.24,12.067567567567568
Jalen Williams,OKC,-0.2,0.1,0.27,456.0,84.15,32.17391304347826
Quinten Post,GSW,-0.8,-0.5,0.197,43.0,51.22,12.976190476190476
Curtis Jones,DEN,-0.4,-0.1,,,,
Ousmane Dieng,OKC,-1.2,-0.8,0.152,45.0,45.12,7.027027027027027
Jae'Sean Tate,HOU,-1.5,-1.1,0.126,51.0,63.41,6.980769230769231
Khris Middleton,WAS,0.2,0.6,0.208,39.0,45.12,19.2972972972973
Cameron Payne,NYK,-0.7,-0.3,0.2,204.0,87.8,11.25
Maxi Kleber,LAL,-0.7,-0.3,0.085,-17.0,41.46,7.176470588235294
Josh Giddey,CHI,0.6,1.0,0.214,-68.0,85.37,28.82857142857143
Jonathan Kuminga,GSW,-0.4,-0.0,0.271,8.0,57.32,21.872340425531913
Gary Payton II,GSW,-0.4,-0.0,0.156,45.0,75.61,11.258064516129032
Grant Williams,CHA,-0.3,0.1,0.146,10.0,19.51,18.0
Shaedon Sharpe,POR,-0.3,0.1,0.25,-138.0,87.8,24.791666666666668
Mark Williams,PHX,-0.5,-0.1,0.21,-301.0,53.66,28.227272727272727
Mike Conley,MIN,-0.3,0.1,0.141,265.0,86.59,15.507042253521126
Grayson Allen,PHX,0.5,0.9,0.169,-79.0,78.05,15.765625
Micah Potter,IND,0.0,0.4,0.102,-104.0,46.34,9.31578947368421
Pacome Dadiet,NYK,-0.0,0.4,,,,
