Player,Team,Offense,Defense,Total,Offense_value,Offense_percentile,Defense(*)_value,Defense(*)_percentile,Total_value,Total_percentile
Tyler Smith,MIL,-0.2 (63),-0.3 (68),0.1 (68),-0.2,63,-0.3,68,0.1,68
Egor Dëmin,BKN,-0.8 (38),-0.9 (85),0.1 (67),-0.8,38,-0.9,85,0.1,67
Harrison Barnes,SAS,1.4 (91),1.3 (7),0.1 (67),1.4,91,1.3,7,0.1,67
Landry Shamet,NYK,-0.3 (62),-0.3 (71),0.0 (67),-0.3,62,-0.3,71,0.0,67
Jabari Walker,PHI,0.1 (72),0.1 (49),0.0 (67),0.1,72,0.1,49,0.0,67
Jonas Valančiūnas,DEN,0.6 (83),0.6 (24),0.0 (67),0.6,83,0.6,24,0.0,67
Malik Monk,SAC,0.7 (84),0.7 (20),0.0 (67),0.7,84,0.7,20,0.0,67
Jalen Johnson,ATL,-1.1 (29),-1.1 (90),0.0 (67),-1.1,29,-1.1,90,0.0,67
Dominick Barlow,PHI,0.0 (70),0.0 (55),0.0 (66),0.0,70,0.0,55,0.0,66
Jakob Poeltl,TOR,-0.4 (55),-0.4 (74),0.0 (66),-0.4,55,-0.4,74,0.0,66
Gabe Vincent,LAL,-0.3 (59),-0.3 (69),0.0 (66),-0.3,59,-0.3,69,0.0,66
Jarred Vanderbilt,LAL,-0.4 (54),-0.4 (73),0.0 (66),-0.4,54,-0.4,73,0.0,66
Pete Nance,MIL,-0.6 (45),-0.6 (79),0.0 (66),-0.6,45,-0.6,79,0.0,66
Guerschon Yabusele,NYK,0.9 (86),0.9 (13),0.0 (66),0.9,86,0.9,13,0.0,66
Tyler Kolek,NYK,-0.9 (36),-0.9 (85),0.0 (65),-0.9,36,-0.9,85,0.0,65
Reed Sheppard,HOU,0.2 (73),0.2 (42),0.0 (65),0.2,73,0.2,42,0.0,65
Cui Yongxi,BKN,0.0 (68),-0.0 (53),0.0 (65),0.0,68,-0.0,53,0.0,65
Tolu Smith,DET,-0.4 (53),-0.4 (72),0.0 (65),-0.4,53,-0.4,72,0.0,65
Christian Koloko,ATL,-1.2 (25),-1.1 (89),-0.1 (65),-1.2,25,-1.1,89,-0.1,65
Luguentz Dort,OKC,-0.3 (61),-0.2 (67),-0.1 (65),-0.3,61,-0.2,67,-0.1,65
Cody Zeller,ATL,-0.3 (60),-0.2 (66),-0.1 (65),-0.3,60,-0.2,66,-0.1,65
Domantas Sabonis,SAC,0.2 (74),0.3 (38),-0.1 (64),0.2,74,0.3,38,-0.1,64
Keegan Murray,SAC,-1.0 (34),-0.9 (86),-0.1 (64),-1.0,34,-0.9,86,-0.1,64
Moritz Wagner,ORL,0.2 (74),0.3 (38),-0.1 (64),0.2,74,0.3,38,-0.1,64
Markelle Fultz,SAC,-0.5 (50),-0.4 (73),-0.1 (64),-0.5,50,-0.4,73,-0.1,64
Mason Plumlee,CHA,0.6 (82),0.7 (19),-0.1 (64),0.6,82,0.7,19,-0.1,64
Drew Peterson,CHA,-0.3 (59),-0.2 (63),-0.1 (64),-0.3,59,-0.2,63,-0.1,64
Jaylen Clark,MIN,-0.9 (35),-0.8 (83),-0.1 (63),-0.9,35,-0.8,83,-0.1,63
Daeqwon Plowden,ATL,-0.5 (49),-0.4 (72),-0.1 (63),-0.5,49,-0.4,72,-0.1,63
Donte DiVincenzo,MIN,0.1 (72),0.2 (44),-0.1 (63),0.1,72,0.2,44,-0.1,63
Richaun Holmes,WAS,-0.1 (67),-0.0 (55),-0.1 (63),-0.1,67,-0.0,55,-0.1,63
Riley Minix,SAS,-0.1 (66),-0.0 (52),-0.1 (63),-0.1,66,-0.0,52,-0.1,63
Jackson Rowe,GSW,-0.2 (63),-0.1 (58),-0.1 (63),-0.2,63,-0.1,58,-0.1,63
Yanic Konan Niederhäuser,LAC,-0.0 (68),0.1 (45),-0.1 (63),-0.0,68,0.1,45,-0.1,63
Mark Sears,MIL,-0.0 (68),0.1 (45),-0.1 (62),-0.0,68,0.1,45,-0.1,62
Max Strus,CLE,-0.4 (57),-0.3 (71),-0.1 (62),-0.4,57,-0.3,71,-0.1,62
Kris Dunn,LAC,-0.4 (55),-0.3 (69),-0.1 (62),-0.4,55,-0.3,69,-0.1,62
Cory Joseph,ORL,0.3 (77),0.4 (33),-0.1 (62),0.3,77,0.4,33,-0.1,62
Ryan Rollins,MIL,-0.6 (48),-0.4 (75),-0.2 (62),-0.6,48,-0.4,75,-0.2,62
Matisse Thybulle,POR,-1.2 (26),-1.0 (89),-0.2 (62),-1.2,26,-1.0,89,-0.2,62
CJ McCollum,ATL,1.2 (90),1.4 (5),-0.2 (61),1.2,90,1.4,5,-0.2,61
Scotty Pippen Jr.,MEM,-0.7 (42),-0.5 (77),-0.2 (61),-0.7,42,-0.5,77,-0.2,61
Javonte Green,DET,-1.4 (19),-1.2 (92),-0.2 (61),-1.4,19,-1.2,92,-0.2,61
Nate Williams,HOU,0.2 (73),0.4 (32),-0.2 (61),0.2,73,0.4,32,-0.2,61
E.J. Liddell,BKN,-0.1 (66),0.1 (48),-0.2 (61),-0.1,66,0.1,48,-0.2,61
Branden Carlson,OKC,0.0 (69),0.2 (41),-0.2 (61),0.0,69,0.2,41,-0.2,61
Phillip Wheeler,PHI,-0.2 (63),0.0 (52),-0.2 (60),-0.2,63,0.0,52,-0.2,60
Ryan Nembhard,DAL,0.2 (73),0.4 (30),-0.2 (60),0.2,73,0.4,30,-0.2,60
Luke Kennard,ATL,0.9 (87),1.1 (11),-0.2 (60),0.9,87,1.1,11,-0.2,60
Jake LaRavia,LAL,0.9 (87),1.1 (10),-0.2 (60),0.9,87,1.1,10,-0.2,60
Collin Murray-Boyles,TOR,-1.1 (27),-0.9 (85),-0.2 (60),-1.1,27,-0.9,85,-0.2,60
Aaron Holiday,HOU,-1.2 (26),-0.9 (86),-0.3 (60),-1.2,26,-0.9,86,-0.3,60
Jose Alvarado,NOP,-0.7 (43),-0.4 (73),-0.3 (60),-0.7,43,-0.4,73,-0.3,60
Ryan Dunn,PHX,-0.7 (42),-0.4 (72),-0.3 (59),-0.7,42,-0.4,72,-0.3,59
Duncan Robinson,DET,0.2 (76),0.5 (29),-0.3 (59),0.2,76,0.5,29,-0.3,59
Robert Williams III,POR,-0.6 (47),-0.3 (70),-0.3 (59),-0.6,47,-0.3,70,-0.3,59
Kristaps Porziņģis,ATL,-0.6 (47),-0.3 (70),-0.3 (59),-0.6,47,-0.3,70,-0.3,59
Oshae Brissett,PHI,-0.3 (61),0.0 (56),-0.3 (59),-0.3,61,0.0,56,-0.3,59
Talen Horton-Tucker,CHI,0.3 (78),0.6 (23),-0.3 (59),0.3,78,0.6,23,-0.3,59
Bol Bol,PHX,-0.3 (59),-0.0 (54),-0.3 (58),-0.3,59,-0.0,54,-0.3,58
Ulrich Chomche,TOR,0.2 (73),0.5 (26),-0.3 (58),0.2,73,0.5,26,-0.3,58
Keshad Johnson,MIA,-0.6 (45),-0.3 (67),-0.3 (58),-0.6,45,-0.3,67,-0.3,58
Brook Lopez,LAC,-1.1 (30),-0.8 (85),-0.3 (58),-1.1,30,-0.8,85,-0.3,58
Haywood Highsmith,MIA,-0.9 (37),-0.6 (81),-0.3 (58),-0.9,37,-0.6,81,-0.3,58
Jalen Williams,OKC,-0.2 (65),0.1 (50),-0.3 (58),-0.2,65,0.1,50,-0.3,58
Quinten Post,GSW,-0.8 (39),-0.5 (76),-0.3 (58),-0.8,39,-0.5,76,-0.3,58
Curtis Jones,DEN,-0.4 (53),-0.1 (57),-0.3 (57),-0.4,53,-0.1,57,-0.3,57
Ousmane Dieng,OKC,-1.2 (26),-0.8 (84),-0.4 (57),-1.2,26,-0.8,84,-0.4,57
Jae'Sean Tate,HOU,-1.5 (18),-1.1 (91),-0.4 (57),-1.5,18,-1.1,91,-0.4,57
Khris Middleton,WAS,0.2 (76),0.6 (25),-0.4 (57),0.2,76,0.6,25,-0.4,57
Cameron Payne,NYK,-0.7 (44),-0.3 (71),-0.4 (57),-0.7,44,-0.3,71,-0.4,57
Maxi Kleber,LAL,-0.7 (42),-0.3 (69),-0.4 (57),-0.7,42,-0.3,69,-0.4,57
Josh Giddey,CHI,0.6 (83),1.0 (12),-0.4 (56),0.6,83,1.0,12,-0.4,56
Jonathan Kuminga,GSW,-0.4 (56),-0.0 (56),-0.4 (56),-0.4,56,-0.0,56,-0.4,56
Gary Payton II,GSW,-0.4 (56),-0.0 (56),-0.4 (56),-0.4,56,-0.0,56,-0.4,56
Grant Williams,CHA,-0.3 (61),0.1 (50),-0.4 (56),-0.3,61,0.1,50,-0.4,56
Shaedon Sharpe,POR,-0.3 (61),0.1 (50),-0.4 (56),-0.3,61,0.1,50,-0.4,56
Mark Williams,PHX,-0.5 (52),-0.1 (61),-0.4 (56),-0.5,52,-0.1,61,-0.4,56
Mike Conley,MIN,-0.3 (60),0.1 (49),-0.4 (56),-0.3,60,0.1,49,-0.4,56
Grayson Allen,PHX,0.5 (81),0.9 (14),-0.4 (55),0.5,81,0.9,14,-0.4,55
Micah Potter,IND,0.0 (69),0.4 (31),-0.4 (55),0.0,69,0.4,31,-0.4,55
Pacome Dadiet,NYK,-0.0 (69),0.4 (31),-0.4 (55),-0.0,69,0.4,31,-0.4,55
Stephon Castle,SAS,-0.5 (49),-0.1 (59),-0.4 (55),-0.5,49,-0.1,59,-0.4,55
Spencer Jones,DEN,-0.4 (54),-0.0 (52),-0.4 (55),-0.4,54,-0.0,52,-0.4,55
PJ Hall,CHA,-0.8 (39),-0.4 (72),-0.4 (55),-0.8,39,-0.4,72,-0.4,55
Trentyn Flowers,CHI,-0.4 (54),-0.0 (52),-0.4 (54),-0.4,54,-0.0,52,-0.4,54
Zyon Pullin,MEM,-0.3 (58),0.1 (46),-0.4 (54),-0.3,58,0.1,46,-0.4,54
Isaiah Stevens,MIA,-0.5 (49),-0.1 (58),-0.4 (54),-0.5,49,-0.1,58,-0.4,54
Chaz Lanier,DET,-0.2 (62),0.2 (41),-0.4 (54),-0.2,62,0.2,41,-0.4,54
Chris Mañon,LAL,-0.4 (53),-0.0 (51),-0.4 (54),-0.4,53,-0.0,51,-0.4,54
Vladislav Goldin,MIA,-0.3 (57),0.1 (45),-0.4 (54),-0.3,57,0.1,45,-0.4,54
LJ Cryer,GSW,-0.4 (52),-0.0 (51),-0.4 (54),-0.4,52,-0.0,51,-0.4,54
Jevon Carter,CHI,-0.4 (56),0.1 (50),-0.5 (53),-0.4,56,0.1,50,-0.5,53
Derrick Jones Jr.,LAC,-0.8 (41),-0.3 (71),-0.5 (53),-0.8,41,-0.3,71,-0.5,53
Jalen Green,PHX,0.3 (78),0.8 (17),-0.5 (53),0.3,78,0.8,17,-0.5,53
Collin Sexton,CHA,0.7 (84),1.2 (8),-0.5 (53),0.7,84,1.2,8,-0.5,53
Clint Capela,HOU,-1.5 (18),-1.0 (88),-0.5 (53),-1.5,18,-1.0,88,-0.5,53
Trey Lyles,SAC,-0.5 (50),0.0 (55),-0.5 (53),-0.5,50,0.0,55,-0.5,53
Seth Lundy,ATL,-0.3 (59),0.2 (42),-0.5 (52),-0.3,59,0.2,42,-0.5,52
Jalen Bridges,PHX,-0.5 (49),0.0 (53),-0.5 (52),-0.5,49,0.0,53,-0.5,52
Yuri Collins,GSW,-0.4 (54),0.1 (46),-0.5 (52),-0.4,54,0.1,46,-0.5,52
Jaren Jackson Jr.,MEM,-1.7 (14),-1.1 (91),-0.6 (52),-1.7,14,-1.1,91,-0.6,52
Cedric Coward,MEM,-1.7 (12),-1.1 (89),-0.6 (52),-1.7,12,-1.1,89,-0.6,52
Nikola Vučević,CHI,0.1 (72),0.7 (21),-0.6 (52),0.1,72,0.7,21,-0.6,52
Trendon Watford,PHI,-0.6 (47),-0.0 (55),-0.6 (52),-0.6,47,-0.0,55,-0.6,52
Jock Landale,MEM,0.6 (83),1.2 (8),-0.6 (51),0.6,83,1.2,8,-0.6,51
Ron Harper Jr.,BOS,-0.5 (50),0.1 (48),-0.6 (51),-0.5,50,0.1,48,-0.6,51
D.J. Carton,TOR,-0.5 (50),0.1 (47),-0.6 (51),-0.5,50,0.1,47,-0.6,51
