Player,Team,RAPM_offense_normalized,USG_percent_normalized,PLUS_MINUS_value_normalized,Attendance_normalized,Performance_normalized,RAPM_defense_normalized
Brandon Williams,DAL,0.39560439560439564,0.4791208791208791,0.3966777408637874,0.39501923466288724,0.23373754111119482,0.45833333333333337
Trey Alexander,NOP,0.32967032967032966,0.3626373626373626,0.373421926910299,0.28396436525612473,0.0426907852342815,0.5416666666666667
Skal Labissiere,SAC,0.3626373626373626,0.2835164835164835,0.3893687707641196,0.037052034824863335,0.043496271748135876,0.5
Emanuel Miller,CHI,0.37362637362637363,0.3142857142857142,0.3847176079734219,0.061753391374772225,0.06766086716376692,0.48611111111111116
Koby Brea,PHX,0.3626373626373626,,,,,0.5
P.J. Washington,DAL,0.27472527472527475,0.4351648351648352,0.4225913621262459,0.6913342781939664,0.4795612339326638,0.5972222222222222
LeBron James,LAL,0.4065934065934066,0.6395604395604395,0.35415282392026576,0.8518930957683742,0.740127036730185,0.4305555555555555
Sidy Cissoko,POR,0.2087912087912088,0.34285714285714286,0.3953488372093023,0.2592630087062158,0.052722753634104086,0.6805555555555557
Noah Clowney,BKN,0.39560439560439564,0.4065934065934066,0.21661129568106313,0.5555780522372951,0.26896245332180635,0.4444444444444445
Quincy Olivari,LAL,0.3626373626373626,0.5076923076923077,0.3780730897009967,0.012350678274954443,0.02899751449875725,0.48611111111111116
Hunter Dickinson,NOP,0.3516483516483517,,,,,0.5
